Lemma,Grundform
Zeichen,"['Abfahrtszeichen', 'Abzeichen', 'Brandzeichen', 'Brauereizeichen', 'Farbzeichen', 'Hauszeichen', 'Kennzeichen', 'Ohrenzeichen', 'Ohrzeichen', 'Schafszeichen', 'Schafzeichen', 'Scherzeichen', 'Schneezeichen', 'Warnungszeichen']"
fallen,"['Abfall', 'Abfallet', 'Abfällig', 'Abgefallenes', 'Anfall', 'Ausfall', 'Ausgefallenes', 'Ausgefallig', 'Ausgefalliges', 'Druschabfall', 'Durchfall', 'Durchfaller', 'Einfallen', 'Flöhfalle', 'Gefallen', 'Gemüsabfall', 'Getreideabfall', 'Getreidefall', 'Haarausfall', 'Herabgefallenes', 'Herabgefalliges', 'Herausgefallenes', 'Heruntergefallenes', 'Herzanfall', 'Hinabfall', 'Hinuntergefallenes', 'Niederfall', 'Niederfalle', 'Niederfallen', 'Niederfallet', 'Reinfall', 'Schlaganfall', 'Schneefall', 'Seegefallene', 'Tennfallig', 'Tobsuchtsanfall', 'Umfallen', 'Umfaller', 'Wasserfall', 'Wegfall', 'Windfall', 'Wutanfall']"
Friedrich,"['Abfallfritzen', 'Bratwurstfritze', 'Dreckfritzen', 'Fischfritzlein', 'Hemdfritz', 'Heringsfritz', 'Klaufritz', 'Pomadenfritz', 'Pomadenfritze', 'Quasselfritze', 'Stelzenfritz', 'Weinfritz', 'Zappelfritz', 'Zappelfritzlein']"
kehren,"['Abfallkehrich', 'Abkehrig', 'Auskehrich', 'Einkehr', 'Grundbirnenkehrich', 'Schulkehren', 'Schulkehrer', 'Schulkehrerin', 'Tennenkehrich', 'Tennenkehricht', 'Wiederkehrer', 'Zusammengekehrtes', 'Zusammenkehr', 'Zusammenkehret', 'Zusammenkehretes', 'Zusammenkehrich', 'Zusammenkehricht', 'Überkehr', 'Überkehre', 'Überkehrer', 'Überkehrets', 'Überkehrich']"
Obst,"['Abfallobst', 'Auflesobst', 'Barnobst', 'Brechobst', 'Dörrobst', 'Dürrobst', 'Fallobst', 'Geleeobst', 'Kelterobst', 'Kleinobst', 'Lesobst', 'Mischobst', 'Mostobst', 'Stauchobst', 'Steinobst', 'Säuobst']"
fangen,"['Abfanger', 'Anfang', 'Anfänger', 'Angefangtes', 'Atemfangen', 'Auffanger', 'Ballenfanger', 'Dreckfänger', 'Fliegenfangen', 'Gimpelfängerei', 'Heringsfänger', 'Jahresanfang', 'Männerfang', 'Mückenfänger', 'Rattenfänger', 'Ratzenfänger', 'Schlangenfänger', 'Schneefang', 'Schneefänger', 'Tropfenfänger', 'Wasserfanger', 'Wildfang', 'Windfang']"
fett,"['Abfeimfett', 'Abschälfett', 'Abschöpffett', 'Abschöpffette(n)', 'Bratenbrühfett', 'Bratenfett', 'Brühfett', 'Fett', 'Fleischfett', 'Gretelfett', 'Griebenfett', 'Gänsefett', 'Kesselfett', 'Kesselfetten', 'Lündenfett', 'Mückenfett', 'Schlachtfett', 'Schmalzfett', 'Schneckenfett', 'Schuhfett', 'Schweinefett', 'Schöpfefett', 'Schöpffett', 'Schöpfigfett', 'Soßenfett', 'Soßfett', 'Speckfett', 'Spintfett', 'Suppenfett', 'Säufett', 'Wurstfett', 'Wurstsuppenfett', 'Würstfett']"
Löffel,"['Abfeimlöffel', 'Abrahmlöffel', 'Abschaumlöffel', 'Abschaumsieblöffel', 'Abschöpflöffel', 'Abseihlöffel', 'Anrichtlöffel', 'Anziehlöffel', 'Aufgießlöffel', 'Bindlöffel', 'Buchtilöffel', 'Esslöffel', 'Fasslöffel', 'Feimelöffel', 'Feimlöffel', 'Gischtlöffel', 'Handlöffel', 'Herausfasslöffel', 'Herausrichtlöffel', 'Jästlöffel', 'Klößlöffel', 'Knödellöffel', 'Kochelöffel', 'Kochlöffel', 'Konlöffel', 'Kratzlöffel', 'Küchenlöffel', 'Küchenlöffelein', 'Lochlöffel', 'Milberinglöffel', 'Ohrlöffel', 'Quirllöffel', 'Rahmlöffel', 'Rotzlöffel', 'Rötzlöffel', 'Rührlöffel', 'Schaumlöffel', 'Schmierlöffel', 'Schuhlöffel', 'Schöpferlöffel', 'Schöpflöffel', 'Seiherlöffel', 'Seihlöffel', 'Sieblöffel', 'Sternleinskuchenlöffel', 'Sudlöffel', 'Suppenlöffel', 'Säulöffel', 'Teiglöffel', 'Totenlöffel', 'Vorlegelöffel', 'Walzenlöffel', 'Windenlöffel', 'Windlöffel']"
finden,['Abfindung']
Fisch,"['Abfischen', 'Backfisch', 'Backfischlein', 'Bauernfischer', 'Erdäpfelsfischlein', 'Goldfischlein', 'Haifisch', 'Kirchweihfisch', 'Mutterfisch', 'Nachfischen', 'Sackfischen', 'Satzfisch', 'Setzfisch', 'Sommerfisch', 'Stockfisch', 'Walfisch']"
