Lemma,Grundform
fahren,"['Abfahrt', 'Abfuhr', 'Ackerfuhre', 'Bachfuhre', 'Bierfahrer', 'Bierwägeleinfahrer', 'Binsenfuhre', 'Bittfuhre', 'Brautfuhre', 'Bräutfuhre', 'Dreckfahrer', 'Durchfuhre', 'Einfuhre', 'Eingefahrene', 'Erdbirnfuhre', 'Fahre', 'Fahrer', 'Fuhre', 'Fähre', 'Fähring', 'Führe', 'Gefahr', 'Gefährt', 'Getreidefuhre', 'Gäulsfuhre', 'Heufuhre', 'Hohlfuhre', 'Holzfuhre', 'Kehrichtfahrer', 'Kreuzfuhre', 'Kübelfahrer', 'Kühfuhre', 'Langholzfuhrwerk', 'Marktfahrer', 'Maschinenfahrer', 'Mistfuhre', 'Mordsfuhre', 'Müllabfuhrer', 'Müllabfuhrerer', 'Müllfahrer', 'Ochsenfuhre', 'Radfahrer', 'Randausfahrer', 'Rangeleinsfuhre', 'Rumpelfuhre', 'Schubkarrensfuhre', 'Schuttfahrer', 'Schüttfahrer', 'Strohfahrer', 'Strohfuhre', 'Wagenfuhre', 'Waldfuhre', 'Wallfahrer', 'Wasserfuhre', 'Wiesenfuhre', 'Wildfuhre', 'Zelgfuhre', 'Zusammengefahrene', 'abfahren', 'abfahren (lassen)', 'anfahren', 'angefahren', 'auffahren', 'ausfahren', 'ausgefahren', 'durchfahren', 'einfahren', 'erfahren', 'fortfahren', 'herfahren', 'herumfuhren', 'hin- und herfahren', 'hinfahren', 'hinterfahren', 'losfahren', 'mitfahren', 'vorfahren', 'wegfahren', 'widerfahren', 'zerfahren', 'zufahren', 'zusammenfahren', 'zusammengefahren']"
Zeichen,"['Abfahrtszeichen', 'Abzeichen', 'Bezeichnung', 'Zeichnung', 'angezeichent', 'angezeichet', 'angezeichnet', 'anzeicheln', 'anzeichen', 'anzeichnen', 'ausgezeichnet', 'auszeichen', 'auszeichnen', 'bezeichnen', 'gezeichet', 'gezeichnet', 'vorzeichnen', 'zeichern']"
fallen,"['Abfall', 'Abfallet', 'Abfallholz', 'Abfallreisig', 'Abfälle', 'Abfällig', 'Abgefallene', 'Abgefallenes', 'Anfall', 'Ausfall', 'Ausgefallenes', 'Ausgefallig', 'Ausgefalliges', 'Durchfall', 'Durchfaller', 'Einfallen', 'Flöhfalle', 'Gefallene', 'Gefallenes', 'Gefälle', 'Gemüsabfall', 'Gemüseabfall', 'Gemüseabfälle', 'Getreideausfall', 'Herabgefallen', 'Heruntergefallenes', 'Missfall', 'Niederfalle', 'Reinfall', 'Seegefallene', 'Tennfallig', 'Umfallen', 'Umfaller', 'Wegfall', 'abfallen', 'abfällig', 'abgefallen', 'abgefallig', 'anfallen', 'anfällig', 'auffallen', 'auffällig', 'aus dem Rahmen fallen', 'aus der Reihe fallen', 'ausfallen', 'ausgefallen', 'ausgefallig', 'durchfallen', 'durchfällig', 'einfallen', 'eingefallen', 'entfallen', 'gefalle', 'gefallig', 'herabgefallig', 'herfallen', 'herunterfallen', 'heruntergefallen', 'heruntergefallig', 'hinfallen', 'hinfallet', 'hinfällig', 'in die Arme fallen', 'um den Hals fallen', 'umfallen', 'umgefallen', 'unauffällig', 'verfallen', 'vorfallen', 'zerfallen', 'zusammenfallen', 'zusammengefallen']"
Friedrich,"['Abfallfritzen', 'Bratwurstfritze', 'Dreckfritzen', 'Frieder', 'Friederich', 'Pomadenfritze', 'Quasselfritze', 'Vetter Frieder']"
kehren,"['Abfallkehrich', 'Abkehrig', 'Auskehrich', 'Bekehrer', 'Bettelmanns Umkehr', 'Einkehr', 'Einkehre', 'Grundbirnenkehrich', 'Kehre', 'Kehrich', 'Kehricht', 'Kehrichter', 'Kehrung', 'Pauli Bekehrung', 'Pauls Bekehrung', 'Schulkehrer', 'Tennenkehrich', 'Tennenkehricht', 'Umkehre', 'Verkehrte', 'Verkehrter', 'Verkhertseite', 'Wiederkehrer', 'Zusammengekehrtes', 'Zusammenkehr', 'Zusammenkehret', 'Zusammenkehretes', 'Zusammenkehrich', 'Zusammenkehricht', 'abkehren', 'ankehren', 'aufkehren', 'auskehren', 'einkehren', 'umgekehrt', 'umkehren', 'umverkehrt', 'verkehren', 'verkehrt', 'verkehrte', 'verkehrte Drossel', 'verkehrte Röhre', 'zusammenkehren', 'Überkehre', 'Überkehrer', 'Überkehrich']"
Obst,"['Abfallobst', 'Auflesobst']"
fangen,"['Abfanger', 'Anfang', 'Anfänger', 'Angefangtes', 'Auffanger', 'Ballenfanger', 'Dreckfänger', 'Fänge', 'Gefangenschaft', 'Heringsfänger', 'Mückenfänger', 'Rattenfänger', 'Ratzenfänger', 'Schlangenfänger', 'Schneefänger', 'Tropfenfänger', 'Verfangeleins', 'Wasserfanger', 'Zeisigleinsfänger', 'abfangen', 'anfliegen', 'anfrieren', 'angefangen', 'angefangensig', 'angefangt', 'ausfangen', 'derfangen', 'derfangen, sich', 'einfangen', 'gefangen', 'herunterfangen', 'umfangen', 'unterfangen', 'verfangen', 'verfangen, sich', 'wegfangen', 'zusammenfangen']"
Feim,"['Abfeim', 'Feimen', 'Schaumfeimer', 'abfeimen', 'abgefeimt', 'anfeimen, sich', 'einfeimen', 'feimeln', 'feimen', 'herunterfeimen']"
fett,"['Abfeimfett', 'Abschälfett', 'Abschöpffett', 'Abschöpffette(n)', 'Fette', 'Fetten', 'Fetter', 'Fetthenne', 'Kesselfetten', 'abfetten', 'anfetten', 'einfetten', 'eingefettet', 'fetten', 'fettig']"
Löffel,"['Abfeimlöffel', 'Abrahmlöffel', 'Abschaumlöffel', 'Abschaumsieblöffel', 'Abschöpflöffel', 'Abseihlöffel', 'Anrichtlöffel', 'Anziehlöffel', 'Aufgießlöffel', 'Kochelöffel', 'Kochlöffel', 'Konlöffel', 'Quirl-Löffelein', 'Vorlegelöffel', 'ablöffeln', 'auslöffeln', 'löffeln', 'zusammenlöffeln']"
finden,"['Abfindung', 'Findling', 'abfinden', 'ausfindig machen', 'derfinden', 'erfinden', 'gefunden', 'vorfinden']"
Weg,"['Abfuhrweg', 'Anliegerweg', 'Dreckweg', 'Fahrweg', 'Fuhrweg', 'Fußweg', 'Gehweg', 'Gickerleinsweg', 'Grasweg', 'Grenzweg', 'Haseweg', 'Heckenweg', 'Heimweg', 'Hohlweg', 'Holzweg', 'Hängweg', 'Höhlweg', 'Judenweg', 'Jägersweg', 'Kirchenweg', 'Kreuzweg', 'Lausweg', 'Läuseweg', 'Läusweg', 'Metzgersweg', 'Mähnweg', 'Pirschweg', 'Scheidweg', 'Schlagweg', 'Schleichweg', 'Schleifweg', 'Schleusenweg', 'Schlichtweg', 'Schluchtweg', 'Seitenweg', 'Sollweg', 'Spitzbubenweg', 'Stadtweg', 'Umweg', 'Waldweg', 'Weg', 'Wege', 'Weglen', 'Wiesenweg', 'Winterleitenweg', 'Wurzelweg', 'abwegig', 'aus dem Weg gehen', 'durchwegs', 'gradeweg', 'tiefer Weg', 'unentwegt', 'unterwegs', 'zu Wege (bringen)', 'zuwege']"
führen,"['Abführen', 'Anführer', 'Anführerin', 'Betriebsführer', 'Brautausführer', 'Brautführer', 'Bräutelführer', 'Dampferführer', 'Dampfmaschinenführer', 'Dreschmaschinenführer', 'Führer', 'Führung', 'Hundführer', 'Lokführer', 'Lokomotivführer', 'Maschinenführer', 'Maschinführer', 'Rädelführer', 'Rädelsführer', 'Rädleinsführer', 'Rückgeführter', 'Spielführer', 'Streitführer', 'Wortführer', 'abführen', 'am Narrenseil herumführen', 'an der Nase herumführen', 'anführen', 'aufführen', 'aufführen, sich', 'ausführen', 'ausgeführt', 'hinters Licht führen', 'irreführen', 'irrführen', 'um das Licht herumführen', 'verführen', 'wegführen', 'zuführen', 'zur Irre führen', 'Überführung']"
geben,"['Abgabe', 'Angeber', 'Angeberer', 'Angeberin', 'Arbeit geben', 'Aufgabe', 'Auftrag geben', 'Ausgeben', 'Begebenheit', 'Beigabe', 'Bekanntgabe', 'Draufgabe', 'Dreingabe', 'Drübergabe', 'Eingeben', 'Gabe', 'Gabenhausen', 'Gebenhausen', 'Gebenshausen', 'Geber', 'Geberhausen', 'Gebersbach', 'Gebersberg', 'Gebersdorf', 'Gebersgrün', 'Gebershausen', 'Gebersreuth', 'Gebertsdorf', 'Gebertshausen', 'Gebertshäuser', 'Gebgern', 'Gebhausen', 'Gebig', 'Herausgabe', 'Hingebets', 'Hofübergabe', 'Kirchenabgabe', 'Kleingebingen', 'Korb geben', 'Liebesgabe', 'Mitgebig', 'Ruhe', 'Tonangeber', 'Zugabe', 'abgeben', 'abgeben, sich', 'achtgeben', 'angeben', 'angeben, sich', 'angeberisch', 'angebet', 'ausgeben', 'begabt', 'beigeben', 'dergeben, sich', 'eingeben', 'freigebig', 'freigiebig', 'hergeben', 'hergeben, sich', 'mitgeben', 'nachgeben', 'nachgiebig', 'umgeben, sich', 'unnachgiebig', 'vergebens', 'vorgeben', 'zugeben', 'zurückgeben', 'Übergabe']"
brühen,"['Abgebrühter', 'Adelbrühe', 'Anbrühe', 'Anbrühen', 'Anbrühig', 'Anbrühtig', 'Angebrühtes', 'Arschbrühe', 'Aufwaschbrühe', 'Dreckbrühe', 'Einbrühe', 'Eingebrühtes', 'Eisbrühe', 'Essigbrühe', 'Fettbrühe', 'Fleischbrühe', 'Fläubrühe', 'Fröschbrühe', 'Gebrühtes', 'Gretelbrühe', 'Hadelwaschbrühe', 'Hasenbrühe', 'Kaffeebrühe', 'Kartoffelbrühe', 'Kesselbrühe', 'Kletzenbrühe', 'Kloßbrühe', 'Klößbrühe', 'Klößebrühe', 'Knödelbrühe', 'Knödeleinsbrühe', 'Käsbrühe', 'Käsebrühe', 'Lapperbrühe', 'Larifaribrühe', 'Laugenbrühe', 'Läpperigbrühe', 'Lühbrühe', 'Mistbrühe', 'Mistbrühensaufer', 'Pritschbrühe', 'Quetschenbrühe', 'Sauere Brühe', 'Schimmelbrühe', 'Schleifsteinbrühe', 'Schlotbrühe', 'Schnorrenbrühe', 'Schwetzelbrühe', 'Seifenbrühe', 'Soßbrühe', 'Suppenbrühe', 'Säu-Einbrühe', 'Süttbrühe', 'Wachtelbrühe', 'Wäschbrühe', 'Wäschebrühe', 'abbrühen', 'abgebrüht', 'anbrühen', 'angebrüht', 'aufbrühen', 'brühtig', 'gebrühen', 'gebrüht', 'verbrüht']"
