Lemma,Grundform
Grubs,"['Adamsgrübselein', 'Grubsel', 'Grubselein', 'Gruschbel', 'Grübschen', 'Grübsel', 'Grübselein', 'Grübsi', 'Grübslein', 'Obsdgrübsel']"
Knochen,"['Adamsknöchel', 'Fingerknöchlein', 'Fußknöchel', 'Fußknöchlein', 'Judenknöchelchen', 'Judenknöchelein', 'Judenknöchlein', 'Knöchel', 'Knöchelein', 'Knöchlein', 'Knöckel', 'Knöcklein', 'Säuknöchlein', 'Weinknöchlein']"
Knopf,"['Adamsknöpflein', 'Gurgelknöpflein', 'Hosenknobel', 'Knöpfel', 'Knöpfelein', 'Knöpflein', 'Kragenknöpfel', 'Kragenknöpflein', 'Saufknöpflein']"
Kropf,"['Adamskröpfel', 'Bierkröpfel', 'Brotkröpflein', 'Kropferlein', 'Kropflein', 'Kröpfel', 'Kröpfelein', 'Kröpflein']"
Adam,"['Adamsäpfelein', 'Klapperadel']"
Fleck,"['Affenflecklein', 'Fleckchen', 'Fleckel', 'Fleckelein', 'Flecklein', 'Geiferflecklein', 'Leberfleckel', 'Leberflecklein', 'Poussierflecklein', 'Schlaffleckel', 'Schnullerflecklein', 'Schürzenflecklein', 'Windenflecklein', 'Zuckerflecklein']"
Nuss,"['Affennüsslein', 'Biebernüsslein', 'Bodennüsslein', 'Burnüsslein', 'Erdnüsslein', 'Haselnüsslein', 'Negernüsslein', 'Nüsslein', 'Nüßlein', 'Pfeffernüsslein', 'Schalnüsslein']"
Affe,"['Affenärschlein', 'Lieblingsafflein', 'Mauläffchen', 'Putzäfflein', 'Äffel', 'Äfflein']"
Age,"['Agel', 'Angel', 'Gerstenagel', 'Gerstägel']"
Ahle,"['Ahlein', 'Nal', 'Schuhnal']"
Ahne,"['Ahndel', 'Ahnel', 'Ahnlein', 'Urahnferl', 'Ähnel', 'Ähnelein']"
Frau,"['Ahnferl', 'Ahnferlein', 'Ahnfraulein', 'Ahnfräulein', 'Ammenfräulein', 'Balkenfraulein', 'Beerenfraulein', 'Birkenfraulein', 'Bürofräulein', 'Fraulein', 'Fräulein', 'Fräuleinchen', 'Gebetfraulein', 'Gebetsfraulein', 'Haagfraulein', 'Hakenfräulein', 'Hockefraulein', 'Hollefraulein', 'Hollefräulein', 'Holzfraulein', 'Holzfräulein', 'Hutzelfraulein', 'Jungferlein', 'Jungfernwäldlein', 'Kappelfraulein', 'Kappelfräulein', 'Kinderfräulein', 'Kornfraulein', 'Kornfräulein', 'Krenfräulein', 'Kronfräulein', 'Mehlfraulein', 'Moosfräulein', 'Neujahrfraulein', 'Neujahrsfraulein', 'Putzfräulein', 'Schneefraulein', 'Schnuckelfrlaulein', 'Schreibfräulein', 'Tippelfräulein', 'Tippfräulein', 'Völlburgsfräulein', 'Waldfraulein', 'Waldfräulein', 'Wollfraulein']"
Herr,"['Ahnherrel', 'Ahnherrlein', 'Hasenherrlein', 'Herrchen', 'Herrel', 'Herrgottshändchen', 'Herrgottshändlein', 'Herrlein', 'Hüllherrlein', 'Taubenherrlein']"
alber,"['Albel', 'Alberl']"
Nikolaus,"['Albernickel', 'Allerweltsnickel', 'Bartnickel', 'Beißnickel', 'Benznickel', 'Brunznickel', 'Brutnickel', 'Butzernickel', 'Bätzenickel', 'Christnickel', 'Deppe(r)nickel', 'Drecknickel', 'Fasenickel', 'Geiznickel', 'Giftnickel', 'Hahnnickel', 'Hundsnickel', 'Kraftnickel', 'Lausnickel', 'Läusenickel', 'Läusnickel', 'Notnickel', 'Pelzennickel', 'Pelznickel', 'Pomadennickel', 'Rotznickel', 'Saunickel', 'Scheißnickel', 'Schundnickel', 'Seichnickel', 'Streitnickel', 'Säunickel', 'Thomanickel', 'Traumernickel', 'Traumnickel', 'Träumernikel', 'Wutnickel', 'Zornnickel']"
Mann,"['Albmännlein', 'Beerenmännlein', 'Bergmännlein', 'Bettelmännlein', 'Birkenmännlein', 'Birkmännlein', 'Bohnensteckenmännlein', 'Brunnenmännlein', 'Brötmannel', 'Druckmännlein', 'Fackelmännlein', 'Feuermännchen', 'Feuermännlein', 'Fischmännlein', 'Gankelmännlein', 'Gansermännlein', 'Gaukelmännlein', 'Genaschmännlein', 'Gerstenmännel', 'Gerstenmännlein', 'Getreidemännel', 'Getreidemännelein', 'Getreidemännlein', 'Habermännel', 'Habermännelein', 'Habermännlein', 'Hafermännel', 'Hagmännlein', 'Haimännchen', 'Hakelmännlein', 'Hampelmännlein', 'Hasenmännlein', 'Heimännchen', 'Heinzelmännchen', 'Heinzelmännlein', 'Hemännchen', 'Hemännlein', 'Henkelmännlein', 'Hetschermannel', 'Huckelmännlein', 'Huhmännlein', 'Hundemännchen', 'Hutzelmannlein', 'Hutzelmännchen', 'Hutzelmännel', 'Hutzelmännlein', 'Häkelmännlein', 'Hüpfemännlein', 'Hüttenmännlein', 'Kappelmännlein', 'Kellermännlein', 'Kipfstockmännlein', 'Kirschenmännlein', 'Klingelmännchen', 'Klingelmännlein', 'Kornmännel', 'Kornmännlein', 'Krimskramsmännel', 'Labermannel', 'Mannel', 'Mannkerlein', 'Mannlein', 'Mannschen', 'Männchen', 'Männel', 'Männelein', 'Männlein', 'Naschmännlein', 'Pantoffelmännlein', 'Pelzmännlein', 'Pfingstmännlein', 'Runzelmännlein', 'Sandmännlein', 'Schieferbruchmännlein', 'Schleiermännlein', 'Schneemannel', 'Schneemannlein', 'Schneemännlein', 'Schrumpelmannlein', 'Schrumpelmännchen', 'Schrumpelmännlein', 'Schwarzbeermännlein', 'Sechsermännlein', 'Siemännlein', 'Stehaufmannel', 'Stehaufmannlein', 'Stehaufmännchen', 'Stehaufmännlein', 'Steinmännlein', 'Strohmannel', 'Strohwischmännlein', 'Tattermännlein', 'Taubenmännchen', 'Wacklermännlein', 'Waldmännlein', 'Wassermännlein', 'Weingartsmännlein', 'Weizenmännel', 'Weizenmännlein', 'Wichtelmännlein', 'Wichtigmännlein', 'Windmännelein', 'Winzermännlein', 'Ziehaufmännlein', 'Zugaufmännlein', 'Zwetschgenmannlein', 'Zwetschgenmännlein', 'Zwiemännlein', 'Äpfelmännlein']"
